Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  7.93    115.09   115.09                             DoSyscall
  7.67    226.42   111.33 54782441     0.00     0.00  RB_SurfaceMesh
  6.91    326.68   100.26 27827228     0.00     0.00  send
  6.27    417.69    91.01 215241675     0.00     0.00  ComputeTexCoords
  4.90    488.81    71.12 54782441     0.00     0.00  LerpMeshVertexes
  4.15    549.00    60.19 34732719     0.00     0.00  RB_CalcDiffuseColor
  3.58    600.97    51.98 403438694     0.00     0.00  RB_SurfaceFace
  3.51    651.87    50.90 44356140     0.00     0.00  Huff_offsetReceive
  2.40    686.63    34.76   884333     0.00     0.00  R_RecursiveWorldNode
  2.37    721.09    34.46 901504141     0.00     0.00  BoxOnPlaneSide
  2.25    753.74    32.65 14164500     0.00     0.00  R_Radix
  2.17    785.21    31.48 59122504     0.00     0.00  MSG_WriteBits
  2.04    814.84    29.63 215241675     0.00     0.00  ComputeColors
  1.75    840.29    25.45 207364462     0.00     0.00  add_bit
  1.56    862.99    22.70 739900866     0.00     0.00  R_CullSurface
  1.33    882.31    19.32 37782047     0.00     0.00  R_SetupEntityLightingGrid
  1.26    900.63    18.32 32412390     0.00     0.00  R_CullLocalBox
  1.16    917.45    16.82 614593081     0.00     0.00  COM_ParseExt
  1.13    933.86    16.41 2512367343     0.00     0.00  FastNormalize1f
  1.12    950.05    16.19 4745852773     0.00     0.00  _vmf
  1.07    965.56    15.51 27826897     0.00     0.00  Huff_offsetTransmit
  1.00    980.09    14.54 371329676     0.00     0.00  CM_Trace
  0.99    994.48    14.39 534869353     0.00     0.00  RB_StretchPic
  0.95   1008.30    13.82 2549175166     0.00     0.00  CL_CgameSystemCalls
  0.90   1021.29    12.99 209381417     0.00     0.00  Cvar_Update
  0.88   1033.99    12.70 315230635     0.00     0.00  get_bit
  0.81   1045.71    11.72  1823534     0.00     0.00  CM_TracePointThroughPatchCollide
  0.81   1057.43    11.72 2104178456     0.00     0.00  R_AddWorldSurface
  0.74   1068.21    10.78 161673478     0.00     0.00  MatrixMultiply4x4
  0.73   1078.86    10.65  3541125     0.00     0.00  RB_RenderDrawSurfList
  0.73   1089.40    10.54 20154435     0.00     0.00  RB_SurfaceGrid
  0.63   1098.57     9.18   874353     0.00     0.00  CL_Netchan_Encode
  0.59   1107.09     8.52 138573724     0.00     0.00  CM_TransformedBoxTrace
  0.56   1115.28     8.19 23547333     0.00     0.00  CM_TraceThroughTree
  0.53   1123.02     7.74   106823     0.00     0.00  inflate_fast
  0.53   1130.73     7.71  2776898     0.00     0.00  RB_CalcSpecularAlphaNew
  0.52   1138.29     7.56 15456246     0.00     0.00  Huff_putBit
  0.52   1145.84     7.55  8830363     0.00     0.00  ClipSkyPolygon
  0.49   1153.00     7.16   874311     0.00     0.00  MSG_HashKey
  0.47   1159.86     6.86 31736299     0.00     0.00  MSG_WriteByte
  0.47   1166.71     6.85 400483521     0.00     0.00  MakeSkyVec
  0.46   1173.40     6.69   894793     0.00     0.00  RB_ExecuteRenderCommands
  0.46   1180.02     6.62 242804781     0.00     0.00  CM_TraceThroughLeaf
  0.46   1186.63     6.61 169059765     0.00     0.00  RB_BeginSurface
